id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904613,0,40.27378508,1,HK Island,8,8,0,6,14,0,0,6,14,0,6,8,7,7,20,20,12,8,6,20,12,8,6,20,15.8,26,15.8,26
S0904621,0,58.59548255,0,NT East,4,4,0,0,14,0,0,0,14,0,5,7,3,3,14,14,4,4,0,14,4,4,0,14,20,17.14285714,20,17.14285714
S0904630,0,38.6146475,0,NT West,35,35,0,12,31,0,0,12,31,0,2,3,0,0,43,43,43,43,12,43,43,43,12,43,16.09302326,54.41860465,16.09302326,54.41860465
S0904640,0,60.47364819,0,KLN West,2,2,0,0,411,3,0,0,411,3,4,4,0,0,414,414,2,2,0,411,2,2,0,411,20.32608696,0.289855072,20.32608696,0.289855072
S0904652,0,22.45859001,0,HK Island,4,4,0,2,2,0,0,2,2,0,1,1,4,4,4,4,4,4,2,4,4,4,2,4,13,60,13,60
S0904660,0,75.16495551,0,HK Island,1,1,0,1,1,0,0,1,1,0,2,2,1,1,2,2,1,1,1,2,1,1,1,2,13,30,13,30
S0904661,0,75.30732375,0,HK Island,2,2,0,0,2,1,0,0,2,1,3,4,2,2,3,3,2,2,0,2,2,2,0,2,35,40,35,40
S0904673,0,70.56536619,0,HK Island,3,3,0,0,9,0,0,0,9,0,7,8,3,3,9,9,3,3,0,9,3,3,0,9,20,22.5,20,22.5
S0904680,0,50.88569473,0,NT West,16,16,0,0,16,0,0,0,16,0,2,2,16,16,16,16,16,16,0,16,16,16,0,16,20,60,20,60
S0904690,1,5.711156742,1,NT West,32,32,2,31,7,0,2,31,7,0,3,7,3,3,40,40,40,40,33,40,40,40,33,40,8.15,54,8.15,54
S0904691,0,28.11498973,1,NT West,3,3,0,3,6,0,0,3,6,0,5,8,3,3,9,9,3,3,3,9,3,3,3,9,15.33333333,20,15.33333333,20
S0904702,0,54.11362081,1,KLN West,11,11,0,2,10,1,0,2,10,1,3,3,1,1,13,13,11,11,2,12,11,11,2,12,21.30769231,50.76923077,21.30769231,50.76923077
S0904703,0,56.73648186,1,KLN West,4,4,0,0,3,1,0,0,3,1,1,1,4,4,4,4,4,4,0,3,4,4,0,3,31.25,60,31.25,60
S0904721,0,59.57015743,0,KLN West,8,8,0,0,9,0,0,0,9,0,6,8,1,1,9,9,8,8,0,9,8,8,0,9,20,53.33333333,20,53.33333333
S0904730,0,5.796030116,1,KLN East,11,11,0,6,7,0,0,6,7,0,4,7,7,7,13,13,11,11,6,13,11,11,6,13,13.53846154,50.76923077,13.53846154,50.76923077
S0904732,0,33.5523614,1,KLN East,10,10,0,2,112,0,0,2,112,0,7,9,10,10,114,114,10,10,2,114,10,10,2,114,19.75438596,5.263157895,19.75438596,5.263157895
S0904733,0,41.85352498,1,KLN East,0,0,0,0,6,0,0,0,7,0,2,2,0,0,6,7,0,0,0,6,0,0,0,7,20,0,20,0
S0904742,0,54.66119097,0,HK Island,7,7,0,0,19,0,0,0,19,0,3,5,0,0,19,19,7,7,0,19,7,7,0,19,20,23.33333333,20,23.33333333
S0904743,0,57.54962355,0,HK Island,1,1,0,0,46,0,0,0,46,0,6,7,4,4,46,46,32,2,0,46,32,2,0,46,20,8.47826087,20,8.47826087
S0904771,1,53.98494182,0,KLN West,2,2,0,0,5,0,0,0,5,0,4,4,0,0,5,5,5,2,0,5,5,2,0,5,20,30,20,30
S0904772,0,58.41478439,0,KLN West,30,30,0,0,32,0,0,0,32,0,2,2,30,30,32,32,32,30,0,32,32,30,0,32,20,56.875,20,56.875
S0904782,0,58.87748118,0,NT West,3,3,0,0,3,0,0,0,3,0,5,6,0,7,7,7,4,3,0,3,4,3,0,3,20,27.14285714,20,27.14285714
S0904783,0,63.321013,0,NT West,1,1,0,0,4,0,0,0,4,0,2,2,0,0,4,4,2,2,0,4,2,2,0,4,20,22.5,20,22.5
S0904793,0,54.05612594,0,HK Island,3,3,0,0,14,7,0,0,14,7,2,2,3,21,21,21,3,3,0,14,3,3,0,14,35,60,35,60
S0904812,1,50.82819986,1,NT West,10,10,0,4,10,0,0,4,10,0,8,10,1,1,14,14,10,10,4,14,10,10,4,14,16,42.85714286,16,42.85714286
S0904813,0,54.01779603,1,NT West,34,34,0,3,31,0,0,3,31,0,2,2,34,34,34,34,34,34,3,34,34,34,3,34,18.76470588,60,18.76470588,60
